"word","eigen"
"pueblo",1
"autoridades",0.771520390805702
"día",0.677173366957991
"cancamo",0.59346482788981
"territorio",0.565597939795198
"personas",0.456229097330507
"víctimas",0.410154143736399
"familia",0.340156595725096
"importante",0.272022622299329
"hermano",0.261651434603375
"arias",0.1579414284105
"familiar",0.154534847252037
"corazón",0.153855434750188
"cuerpo",0.153855434750188
"observaciones",0.152297083750332
"comparecientes",0.152297083750332
"casos",0.120486782692825
"armas",0.111571205726111
"escuchar",0.111571205726111
"procesos",0.111571205726111
