"word","eigen"
"batallón",1
"sé",0.827967869935716
"comandante",0.821625227699227
"información",0.758251987741519
"pronto",0.734583948547367
"brigada",0.732227804357486
"personas",0.699218033931353
"operaciones",0.680963271502452
"recuerdo",0.669712902287831
"persona",0.668287340045549
"pelotón",0.659335442560638
"acuerdo",0.65636072382028
"operación",0.643377057540488
"soldados",0.620217519887338
"orden",0.617468632501481
"unidad",0.606762663402892
"día",0.602894704664893
"conocimiento",0.593117185401893
"iba",0.575393686680695
"digo",0.567860404224031
