"word","eigen"
"víctimas",1
"falsos",0.641542761476657
"jep",0.639885730808511
"responsables",0.622899802291616
"historia",0.536429822332943
"justicia",0.516078988418755
"santander",0.512911511409149
"máximos",0.497280609109851
"reconocimiento",0.440291843407992
"positivos",0.438568321920515
"norte",0.404126018968699
"espacio",0.346622624054512
"querían",0.302894697907574
"habría",0.290563639351005
"universo",0.280701139055625
"comunidad",0.2794534970369
"imputó",0.270004775655341
"demandas",0.269340690157353
"respuesta",0.267877093281079
"propiciará",0.258277131122163
