"word","eigen"
"especiales",1
"delta",0.924413725332173
"especial",0.898174785474719
"mis",0.898051846391935
"grupo",0.867225456672463
"militar",0.860012198712461
"operaciones",0.748755852148009
"grupos",0.632382776547916
"unidades",0.622288388551577
"gaula",0.598376963648248
"soldados",0.509677750406117
"unidad",0.48489000574352
"número",0.48335294592221
"pelotón",0.432505174112815
"penal",0.42324168493428
"militares",0.399998389445217
"justicia",0.374770671328988
"inteligencia",0.361467384198815
"control",0.326055867399028
"fuerzas",0.314559799620988
