"word","eigen"
"batallón",1
"sé",0.914564954319658
"recuerdo",0.881819423303013
"operaciones",0.616931196693041
"recuerda",0.598964519194977
"pelotón",0.585054782493699
"comandante",0.500561796234622
"brigada",0.489977020093993
"inteligencia",0.466558779732219
"iba",0.46331094967207
"cuál",0.455342780991975
"tenían",0.451087803988728
"información",0.379056619950203
"personas",0.335704762615375
"compañía",0.326671313898183
"nivel",0.312961235380297
"exactamente",0.31101105836229
"acuerdo",0.310436988210235
"mí",0.298434353619807
"cuántos",0.295420416643099
