"word","eigen"
"batallón",1
"comandante",0.73703161144337
"pelotón",0.616400161505926
"operaciones",0.595376752293024
"recuerdo",0.586301959324055
"información",0.533753797023573
"operación",0.51666059964284
"pronto",0.505918143401087
"sé",0.441437460516994
"unidad",0.431916870693852
"brigada",0.425616343763234
"inteligencia",0.381067023044759
"acuerdo",0.324563128106277
"resultados",0.323850612079831
"persona",0.313647242486273
"hacía",0.31050886956233
"orden",0.300028261932884
"recuerda",0.292535325521369
"unidades",0.273736589665816
"resultado",0.27226768286019
