"word","eigen"
"mis",1
"hijos",0.836683634620956
"hermanos",0.649108163499935
"familiares",0.486510327715845
"madres",0.449789787554292
"padres",0.425650180934404
"hermanas",0.401200636296996
"víctimas",0.375650516160741
"compañeras",0.374611090351844
"sobrinos",0.362652338381951
"nietos",0.326737737319609
"ustedes",0.306656901529212
"compañeros",0.302288192682201
"hijas",0.282906000433551
"desaparecidos",0.231717412073642
"niños",0.231681540024567
"desaparecieron",0.231083250980557
"colegas",0.219908157881098
"cuid",0.219908157881098
"pequeños",0.183993556818756
