"word","eigen"
"brigada",1
"comandante",0.914521984827031
"batallón",0.840180595502475
"operaciones",0.766445597224443
"información",0.67496447927116
"sé",0.661289903657369
"teniente",0.589449865821831
"orden",0.567486439997869
"operación",0.565353865668945
"coronel",0.557408995477427
"recuerdo",0.493489241171675
"soldados",0.467424394611761
"grupo",0.461491626392451
"conocimiento",0.42313747884725
"acuerdo",0.408984115946087
"persona",0.399112821280861
"delta",0.399054999474099
"unidad",0.398122141737347
"gaula",0.397331824206877
"soto",0.375777777025167
