"word","eigen"
"batallón",1
"brigada",0.997446719781532
"comandante",0.936312963965845
"información",0.770690933132174
"sé",0.760569679546492
"operaciones",0.702535348880072
"operación",0.689294177268965
"persona",0.631473182939612
"acuerdo",0.626339025963978
"caso",0.621313472348408
"pronto",0.620894647368426
"conocimiento",0.608429451770122
"orden",0.545418897444892
"gaula",0.538373744225649
"coronel",0.498556478050864
"recuerdo",0.496419753529157
"teniente",0.47470556147657
"soldados",0.472881827386991
"digo",0.459454641428917
"iba",0.453375742394122
