"word","eigen"
"víctimas",1
"ustedes",0.848846943537813
"señores",0.379253050469607
"familiares",0.356403075547828
"personas",0.344881622621942
"quiero",0.34467246721682
"comparecientes",0.325503326455307
"país",0.29038893688671
"presentes",0.260896787354743
"hijos",0.242649057409306
"dolor",0.239141925055996
"reconocimiento",0.229692476999298
"frente",0.216460727068021
"día",0.208399386733032
"magistrados",0.202642352656193
"días",0.192892061019304
"familias",0.189693868535865
"orden",0.17733848857226
"mis",0.174800374291968
"daño",0.163420465526822
