"word","eigen"
"batallón",1
"comandante",0.922473496904529
"sé",0.784218513058248
"operaciones",0.779900419350202
"información",0.76799716196377
"brigada",0.734511357594792
"pronto",0.714263751674234
"personas",0.705024194335967
"orden",0.693100579129668
"recuerdo",0.680422874278497
"pelotón",0.677019766568607
"persona",0.673278367615066
"acuerdo",0.65902843870933
"soldados",0.641706813515497
"operación",0.634639153423424
"iba",0.589112339933081
"combate",0.587048144327815
"inteligencia",0.582182703914788
"coronel",0.577907608735818
"día",0.571144953478299
