"word","eigen"
"víctimas",1
"ustedes",0.825232589585926
"personas",0.450403311205194
"quiero",0.366622320034551
"señores",0.339249242465692
"comparecientes",0.313469174301616
"reconocimiento",0.312384817496481
"crímenes",0.297159180494252
"daño",0.27420339437294
"hijos",0.264895165292479
"audiencia",0.259979676418445
"mis",0.256837869198914
"país",0.25044577646417
"justicia",0.248715273114984
"dolor",0.219734178614505
"campesinos",0.208905376858952
"hijo",0.204565772414583
"ejército",0.197084240266755
"catatumbo",0.193412767159074
"auto",0.192123751839604
