"word","eigen"
"comandante",1
"batallón",0.983420866974309
"brigada",0.963592451556503
"información",0.765383007213566
"operaciones",0.754255646799636
"sé",0.744243897393834
"operación",0.704631483556164
"orden",0.653692516436746
"pronto",0.647688315808109
"personas",0.642471172355143
"caso",0.628161380601327
"persona",0.627985887846886
"grupo",0.614408656930369
"coronel",0.611669852899545
"soldados",0.586820106728873
"iba",0.58004678858868
"teniente",0.577856519906269
"unidad",0.567877494222062
"conocimiento",0.566159948559529
"acuerdo",0.561794080089369
