"word","eigen"
"víctimas",1
"ustedes",0.970626364143608
"personas",0.559556766733041
"justicia",0.517257012694069
"día",0.472026665194388
"audiencia",0.463414983263368
"quiero",0.409771687131837
"caso",0.409491591425996
"días",0.401510753502007
"ejército",0.336970304222884
"importante",0.326402483937295
"dolor",0.32579209440206
"comparecientes",0.319543116288978
"país",0.317345457630877
"doña",0.307575880993752
"jep",0.295171031791859
"vida",0.288941862272328
"testimonio",0.288559166481782
"hijo",0.283615920695769
"casos",0.263099424258005
