"word","eigen"
"víctimas",1
"ustedes",0.559457880547044
"comparecientes",0.494287551551106
"señores",0.433833700589373
"autoridades",0.335826592392941
"mis",0.330640558835411
"magistrados",0.310446807445831
"familiares",0.27062933511127
"quiero",0.252905572709234
"honorables",0.23488667309368
"étnicas",0.228957260127932
"personas",0.22377843942284
"inocentes",0.223677930449304
"asesinadas",0.219669209364917
"presentes",0.206650398681564
"individuales",0.202474977731417
"colectivas",0.197427791947797
"apoderados",0.182993874982951
"responsables",0.178779826386552
"organizaciones",0.168862591482674
