"word","eigen"
"batallón",1
"pelotón",0.859399533916131
"recuerdo",0.721687091519034
"sé",0.698055700988454
"comandante",0.497611649154824
"nivel",0.497551093986209
"recuerda",0.443651802040468
"compañía",0.435011114290828
"cuál",0.379969516687522
"brigada",0.355552807490387
"exactamente",0.33620045236413
"operaciones",0.314206007775937
"comante",0.311887329558986
"berlín",0.260876960637406
"azteca",0.260876960637406
"número",0.259832017125551
"magdalena",0.217436176833351
"catapulta",0.217118630535375
"acuerdo",0.204636393627261
"completo",0.199294797281615
