"word","eigen"
"víctimas",1
"ustedes",0.851244821370456
"ejército",0.425905311718026
"quiero",0.411449268130065
"día",0.393341128369359
"personas",0.38373412821261
"catatumbo",0.345965624813892
"señores",0.342473739960403
"responsabilidad",0.310878277952462
"crímenes",0.310163432833788
"hijos",0.304965773755594
"país",0.297495252532174
"mis",0.286636952073656
"dolor",0.279811993077564
"reconocimiento",0.276000621660466
"audiencia",0.267529242560158
"daño",0.267072967162565
"justicia",0.265368144492006
"hijo",0.259764379725038
"comparecientes",0.252184196745417
