"word","eigen"
"ejército",1
"mirando",0.958855338536157
"arpa",0.893878349367669
"mataron",0.835480932035784
"esperanza",0.74494203748397
"ustedes",0.590709811893246
"monsalve",0.566082409309316
"días",0.508641807882256
"futuro",0.42018052281727
"digo",0.42018052281727
"brig",0.37024124537123
"dejaron",0.362080606788895
"mensaje",0.362048255954571
"esposo",0.361465999278711
"cuerdas",0.359872547074003
"luz",0.337350835629779
"alpa",0.335518056223104
"dando",0.323400739760717
"matado",0.315276893942928
"dé",0.302301524744241
