"word","eigen"
"pueblo",1
"víctimas",0.871610004134436
"día",0.676297361888872
"hermano",0.565725989512837
"autoridades",0.508259145787804
"comparecientes",0.388576244182379
"ustedes",0.379348364219979
"caso",0.353353293787876
"mataron",0.305668293161477
"versiones",0.289794296505662
"comunidad",0.273000828974421
"importante",0.262226046941509
"presentaron",0.243347216091594
"personas",0.242667288110476
"familia",0.240889901064185
"familias",0.239458183497939
"casos",0.237719019646799
"indígena",0.227269301286412
"iban",0.213476911802372
"observaciones",0.205795253307099
