"word","eigen"
"batallón",1
"comandante",0.780565218292354
"operaciones",0.671468196045714
"brigada",0.64844442566561
"operación",0.580778905488453
"información",0.563488571120975
"pelotón",0.562431397078111
"recuerdo",0.558592725991014
"sé",0.536089547817258
"pronto",0.508252307375125
"unidad",0.432019315725635
"inteligencia",0.419540652299302
"orden",0.370883497726765
"acuerdo",0.36954816138835
"día",0.357244824525853
"caso",0.344094748607637
"resultados",0.322347109051596
"hacía",0.322104514911662
"personas",0.296010378146198
"persona",0.291839199178351
