"word","eigen"
"batallón",1
"sé",0.827967869935716
"comandante",0.821625227699225
"información",0.758251987741519
"pronto",0.734583948547366
"brigada",0.732227804357487
"personas",0.699218033931352
"operaciones",0.680963271502452
"recuerdo",0.669712902287831
"persona",0.668287340045549
"pelotón",0.659335442560638
"acuerdo",0.656360723820279
"operación",0.643377057540487
"soldados",0.620217519887338
"orden",0.61746863250148
"unidad",0.606762663402891
"día",0.602894704664893
"conocimiento",0.593117185401892
"iba",0.575393686680694
"digo",0.56786040422403
