"word","eigen"
"víctimas",1
"comparecientes",0.354779326377281
"personas",0.306546192328778
"ustedes",0.300225686768569
"reconocimiento",0.296020815327718
"audiencia",0.25788501828849
"presentes",0.251047636400492
"quiero",0.229756215234762
"magistrados",0.219310754797435
"día",0.207263337399748
"señores",0.185864177222232
"días",0.183603143236814
"pueblo",0.17908909694696
"proceso",0.170726028644824
"frente",0.163462015965584
"especial",0.163153264027408
"saludo",0.161485333354936
"hermano",0.157830526393178
"caso",0.156787670398518
"integrantes",0.156367206762287
