"word","eigen"
"teniente",1
"coronel",0.847472729123719
"comandante",0.600591534844615
"brigada",0.520563034841936
"número",0.431424014570082
"batallón",0.428906171088703
"garcía",0.401592665199395
"soldado",0.397398778030713
"torres",0.384442476486747
"tenente",0.366430834666906
"león",0.359204513807886
"lópez",0.349036366791048
"capitán",0.346238240387443
"sé",0.329314787925789
"rodríguez",0.310839694443146
"rivera",0.262365130934015
"toro",0.261156800728362
"reyes",0.257279122905587
"sierra",0.256451342568399
"parada",0.25275161501434
