"word","eigen"
"víctimas",1
"comparecientes",0.474777838753231
"reconocimiento",0.410237551118878
"audiencia",0.401908795904639
"ustedes",0.398781967702155
"personas",0.388833515334274
"quiero",0.377273377521322
"día",0.337534365851894
"paz",0.29106103766387
"magistrados",0.281731030424341
"hermano",0.271321352166954
"responsabilidad",0.266173502597601
"días",0.264607147761682
"justicia",0.257536167290411
"vida",0.241750311126795
"especial",0.218300010277582
"proceso",0.215457060255985
"caso",0.214909655501935
"pueblo",0.211248319953267
"marco",0.208931072917759
