"word","eigen"
"víctimas",1
"día",0.492092377310322
"comparecientes",0.451996622635208
"personas",0.447219004203249
"ustedes",0.437293398545524
"quiero",0.426200454691212
"hermano",0.402244415318227
"caso",0.372325585865612
"reconocimiento",0.298932799276527
"pueblo",0.285117776006289
"audiencia",0.273763136699127
"familia",0.268920208406412
"marco",0.255062535619298
"combate",0.253239433974074
"sé",0.246536383057476
"presentes",0.237584258913524
"familiares",0.236069956329261
"proceso",0.231942583723804
"frente",0.214768533012924
"observaciones",0.213656566286405
