"Token","n"
"familiar",1647
"comenzar",1644
"llgar",1639
"extorsión",1638
"febrero",1637
"mía",1632
"precisamente",1630
"elemento",1627
"mencionado",1623
"difícil",1608
"atrás",1607
"meter",1607
"corresponder",1599
"inicialmente",1598
"político",1598
"responder",1592
"evento",1590
"aparte",1586
"lograr",1586
"blanco",1584
"gasto",1584
"da",1583
"reconocer",1583
"paso",1582
"autodefensa",1581
"carpeta",1573
"completo",1570
"santa",1564
"octubrir",1563
"coger",1552
"fiscal",1549
"noveno",1549
"relato",1546
"llegado",1545
"agosto",1540
"soto",1539
"escuadrar",1537
"mover",1535
"sistema",1534
"escuchado",1531
"presentación",1529
"básicamente",1528
"artículo",1526
"generar",1525
"perder",1518
"alias",1515
"cantidad",1514
"organizar",1513
"h",1507
"idea",1503
"noviembre",1503
"recuerde",1495
"establecer",1493
"llegaban",1492
"supuestamente",1491
"motorizado",1490
"carlo",1487
"competencia",1487
"alcanzar",1484
"entrenamiento",1482
"andar",1477
"legal",1477
"circunstancia",1472
"septiembre",1471
"qu",1469
"anexo",1468
"realidad",1467
"administrativa",1466
"línea",1462
"tr",1462
"agregar",1459
"munición",1459
"coral",1457
"revisar",1456
"red",1455
"leer",1453
"libertad",1452
"error",1451
"documentación",1449
"centro",1445
"receso",1442
"gustar",1438
"campesino",1432
"er",1430
"repito",1430
"atención",1428
"seguramente",1428
"considerar",1425
"cometer",1424
"posterior",1424
"fuente",1421
"relacionado",1420
"subteniente",1416
"referencia",1413
"escrito",1411
"identificar",1408
"joven",1408
"directivo",1407
"ciudad",1405
"autoridad",1404
"condición",1400
"carrera",1398
"poquito",1397
"formación",1394
"desplazamiento",1384
"ctú",1382
"pitalito",1379
"puntual",1379
"infantería",1378
"jurídicar",1376
"suárez",1367
"mayo",1365
"rivero",1354
"d",1352
"observar",1351
"celular",1346
"medellín",1346
"cuadro",1344
"llego",1342
"solicitud",1338
"coordinación",1336
"garcer",1335
"desplazar",1333
"disposición",1331
"administrativo",1327
"berlín",1327
"adelantar",1326
"principal",1323
"río",1323
"abril",1320
"traer",1314
"cu",1310
"beneficio",1305
"teléfono",1304
"reibar",1302
"pleno",1301
"suber",1300
"juar",1294
"seguimiento",1293
"encuentro",1290
"semana",1290
"helicóptero",1286
"neiva",1282
"capturar",1280
"ordinario",1274
"aspecto",1272
"par",1272
"país",1272
"desempeñar",1267
"totalmente",1267
"públicar",1266
"secuestro",1266
"campo",1261
"hijo",1260
"hila",1256
"caer",1247
"comprar",1247
"falso",1247
"cuestión",1241
"subir",1240
"aclarar",1234
"parecer",1233
"actuar",1232
"confianza",1226
"herido",1226
"labor",1223
"asignar",1222
"servir",1222
"granada",1221
"decidir",1218
"hablado",1211
"operativo",1210
"ayudar",1206
"ent",1203
"procuradur",1200
"planeamiento",1196
"funcionario",1193
"funcionar",1187
"conformar",1185
"disciplinario",1185
"intervención",1185
"cuénteno",1181
"contribuir",1179
"específicamente",1177
"huilo",1175
"detenido",1169
"rojo",1165
"gonzález",1163
"reparación",1161
"análisis",1159
"muchísimo",1155
"pequeño",1155
"suyo",1155
"recurso",1153
"auto",1149
"inmediatamente",1149
"tenente",1149
"catapulta",1145
"entendido",1141
"mayoría",1140
"camino",1138
"palabra",1136
"planear",1133
"comisión",1128
"jurídico",1128
"conducta",1125
"dirección",1125
"sabrir",1124
"correr",1118
"amenazar",1116
"hoja",1116
"necesidad",1114
"urab",1114
"establecido",1112
"distancia",1111
"desmovilizado",1109
"regresar",1106
"institución",1103
"miliciano",1102
"permanente",1102
"orientador",1096
"cumplimiento",1092
"contexto",1090
"peso",1090
"relatar",1090
"siquiera",1089
"urbano",1089
"hablo",1088
"comunidad",1087
"dio",1086
"diferencia",1084
"respeto",1084
"igualmente",1081
"cabeza",1080
"garzón",1073
"creería",1072
"manejo",1071
"manual",1071
"obtener",1071
"inicio",1070
"irregular",1070
"obligación",1070
"álvarez",1069
"analista",1068
"dur",1066
"revista",1062
"suministrar",1062
"expediente",1060
"conocí",1054
"hab",1054
"dirigir",1053
"permanecer",1052
"finalmente",1050
"denuncia",1048
"característica",1047
"meta",1046
"abogada",1045
"canadá",1045
"real",1042
"retomar",1042
"quitar",1041
"participado",1038
"menor",1037
"claridad",1036
"cerro",1032
"patrulla",1032
"distinto",1031
"rol",1031
"parte",1030
"antecedente",1029
"atender",1027
"honorable",1027
"comentario",1025
"asumir",1023
"elaborar",1021
"ejercer",1018
"recibido",1017
"fecha",1014
"etcétera",1012
"conversación",1009
"encargar",1008
"fácil",1005
"caminar",1004
"decirlo",1004
"duda",1004
"propósito",1001
"pinto",1000
"supe",997
"formar",996
"exigir",994
"hacerle",991
"moral",991
"colombia",990
"desconocer",988
"motivo",985
"significar",984
"pistola",983
"duarte",982
"mir",982
"puerto",981
"puente",979
"trasladar",978
"mostrar",977
"malo",975
"capacidad",974
"je",972
"extrajudicial",970
"luis",969
"mujer",968
"operar",968
"romero",968
"aporte",965
"comilla",964
"panza",963
"territorial",958
"yopal",956
"memoria",952
"niño",952
"organizado",951
"supuesto",951
"cadáver",950
"copia",950
"coordinar",948
"detallado",946
"asignado",945
"reservado",943
"gigante",942
"pena",942
"cementerio",941
"edad",941
"reportado",938
"devolver",937
"sacar-",937
"enfrentamiento",935
"papel",935
"posibilidad",934
"cooperante",933
"adicional",931
"moreno",930
"revólver",930
"per",929
"folio",928
"mentira",927
"evitar",924
"margen",923
"tercero",922
"ejecutar",921
"león",921
"logístico",921
"norma",921
"analizar",917
"concepto",917
"necesario",917
"peña",916
"juez",914
"concreto",911
"ar",908
"absolutamente",905
"acerca",905
"fernar",904
"justamente",903
"ed",902
"ciclo",901
"salamancar",901
"do",897
"intención",896
"prueba",894
"valer",894
"reserva",893
"ubicado",892
"reacción",890
"expresión",889
"rendir",888
"antiguo",886
"doctrina",886
"consejo",884
"positivo",883
"jep",882
"montar",881
"identificado",880
"acceso",879
"apoyar",876
"criterio",876
"felicitar",876
"all",875
"asesinar",873
"coordenado",873
"determinado",873
"forero",871
"manifestado",871
"rápido",871
"vista",869
"transmitir",866
"autorizar",865
"precisión",865
"reentrenamiento",863
"narrar",861
"verificación",860
"completar",859
"radiograma",859
"jiménez",857
"pie",857
"sánchez",857
"érar",857
"narcotráfico",853
"constar",851
"ofrecer",847
"conseguir",846
"asesinado",845
"martínez",845
"práctica",845
"sur",844
"antioquia",836
"confirmar",835
"camión",834
"contenido",834
"integral",833
"pigoanza",832
"vero",832
"sepa",831
"llamaban",830
"pu",830
"sucedido",829
"cobrar",828
"movilidad",828
"frecuencia",827
"movir",827
"tarjeta",826
"andrés",824
"escoger",822
"pertenecía",822
"archivo",820
"inspección",818
"aj",817
"aceptar",816
"escucho",816
"salgo",816
"palomino",815
"gómez",813
"internacional",813
"batalla",812
"daiva",812
"disponer",812
"incentivo",809
"integrar",809
"millón",809
"camuflado",808
"consecuencia",808
"rita",807
"armada",803
"crear",803
"quinto",803
"lista",801
"actuación",798
"azteca",798
"diario",793
"parar",792
"quintero",791
"varga",791
"montoya",790
"garantizar",788
"estudio",787
"radicado",786
"cerrar",785
"especialmente",785
"indicación",785
"brasil",784
"asistir",782
"capturado",780
"técnica",780
"responsable",779
"señalar",778
"de",777
"bloque",775
"personalmente",775
"x",774
"anterior",772
"patrullar",770
"estuvierar",768
"trato",764
"acercar",763
"met",763
"delito",762
"lejos",762
"explicación",761
"búsqueda",760
"carácter",760
"compromiso",759
"pico",759
"apoderado",758
"dijera",755
"agente",754
"disponible",754
"enlace",754
"carepar",752
"activo",751
"luz",751
"miedo",751
"defensor",750
"ln",749
"negro",749
"retirar",749
"miembro",747
"caquetar",746
"tranquilo",746
"clarar",745
"seor",745
