"word","eigen"
"batallón",1
"brigada",0.94716145892643
"comandante",0.943436199666812
"sé",0.880138885738177
"información",0.817815044011756
"pronto",0.785535097231755
"operaciones",0.755217174187578
"personas",0.724067443178735
"acuerdo",0.718728917557726
"caso",0.716894095729109
"persona",0.711864780321514
"operación",0.694055874751169
"conocimiento",0.675949724558626
"gaula",0.645268994950396
"iba",0.598148448013924
"coronel",0.577660371893486
"mí",0.573183817732245
"unidad",0.564896629389375
"teniente",0.555278670634309
"orden",0.555234004806072
