"word","eigen"
"ustedes",1
"quiero",0.977638349529932
"víctimas",0.814278816655551
"personas",0.506705449739883
"familias",0.341120114547603
"familiares",0.322401944641505
"tantas",0.306051335878996
"señores",0.29494163179948
"magistrados",0.245897614382297
"comparecientes",0.245475269714442
"puedan",0.228541024621335
"ejército",0.214224809742601
"pido",0.189961443505227
"pedirle",0.185987721533301
"resaltar",0.185440568199811
"sé",0.183692354769539
"país",0.183692354769539
"casos",0.183497039386205
"frente",0.183497039386205
"tuvieron",0.183497039386205
