"word","eigen"
"batallón",1
"comandante",0.898451520526902
"operaciones",0.761963764731742
"pelotón",0.646695789930438
"brigada",0.626434474601348
"información",0.626217965548515
"recuerdo",0.59006250218786
"operación",0.561673698622858
"sé",0.556428732698054
"orden",0.517624747532941
"pronto",0.511334215488354
"personas",0.4966991079863
"unidad",0.470563990112927
"teniente",0.392860108917582
"acuerdo",0.38781489746281
"resultados",0.377208084090426
"persona",0.368319034111614
"día",0.364816587710012
"soldados",0.346048321094448
"soldado",0.342841708370564
