"word","eigen"
"batallón",1
"comandante",0.754540620450251
"información",0.738548311185665
"pelotón",0.685877036649276
"sé",0.660023557959105
"recuerdo",0.65753246524353
"operaciones",0.656574096906976
"pronto",0.588689860244176
"persona",0.572657079143795
"unidad",0.553417610114596
"operación",0.547352482902032
"personas",0.545271431270577
"acuerdo",0.541691727850589
"inteligencia",0.531254721864156
"soldados",0.519091297958014
"orden",0.496415336175318
"iba",0.48915868120097
"día",0.480202763358457
"brigada",0.479499078053
"recuerda",0.474997260649862
