"word","eigen"
"víctimas",1
"ustedes",0.739920437564825
"justicia",0.439825021237268
"personas",0.400889694382917
"caso",0.396708247572726
"audiencia",0.346557223246892
"familia",0.287587504986558
"días",0.275932097149764
"quiero",0.271451752877282
"familias",0.267613658638243
"casos",0.246415815874408
"importante",0.236394876138636
"antioquia",0.233078278804934
"hermano",0.229008746726886
"escuchar",0.228553155129209
"país",0.226726883019509
"presentes",0.203920790292176
"familiares",0.199264301901432
"día",0.194171082288831
"quiénes",0.191967786023721
