"word","eigen"
"víctimas",1
"ustedes",0.821711412277394
"personas",0.609388400063848
"día",0.401704079514357
"justicia",0.397685137395659
"caso",0.392052198299468
"audiencia",0.382283825940936
"quiero",0.343219277318514
"días",0.339016502381422
"comparecientes",0.30875986046957
"país",0.294508118641094
"importante",0.29290020026127
"jep",0.257198204777636
"especial",0.254559862211047
"vida",0.252436053672404
"mí",0.245274792281525
"proceso",0.238529065993911
"ejército",0.237779119269791
"familiares",0.236531607389242
"dolor",0.2282278811022
