"word","eigen"
"batallón",1
"comandante",0.827205098169164
"sé",0.744366386211399
"información",0.704042398839254
"pronto",0.682144163085342
"operaciones",0.680441512400547
"brigada",0.674198929997811
"recuerdo",0.670077436215018
"pelotón",0.655960938197211
"acuerdo",0.6155673728291
"personas",0.610570630145761
"operación",0.610468785910019
"persona",0.60796885689306
"caso",0.560365725673859
"unidad",0.543280909137529
"orden",0.542261793740764
"conocimiento",0.541779019407979
"día",0.537995680479211
"iba",0.533445707699981
"soldados",0.528289866434158
