"word","eigen"
"víctimas",1
"ustedes",0.764941067710632
"personas",0.441458247616959
"justicia",0.402617244744315
"caso",0.373341824880576
"audiencia",0.328698176078643
"día",0.298039184127047
"país",0.28090299756335
"familia",0.266752379894747
"familias",0.263759997048938
"quiero",0.261220491352511
"importante",0.25939138330369
"comparecientes",0.251939378802845
"días",0.246580151742869
"familiares",0.216125544690991
"casos",0.205844076688605
"antioquia",0.201929397260507
"proceso",0.198482115310089
"escuchar",0.19689319396744
"hermano",0.196582844075066
