"word","eigen"
"batallón",1
"comandante",0.871115231856373
"operaciones",0.78348407865093
"información",0.745837442533648
"pelotón",0.714559868697294
"sé",0.70045003614157
"recuerdo",0.6645625860753
"inteligencia",0.652873691048158
"pronto",0.619809055452584
"orden",0.611622335643753
"personas",0.601868228375933
"operación",0.596960800133104
"brigada",0.585927938627672
"persona",0.580229070698258
"soldados",0.547647131674222
"unidad",0.547456380416912
"resultados",0.547436979963332
"acuerdo",0.541541271879683
"sección",0.522449288036845
"coronel",0.51845097483196
