"word","eigen"
"víctimas",1
"comparecientes",0.472478171272752
"personas",0.462793383416824
"día",0.451849005113182
"quiero",0.404881508994014
"ustedes",0.403321266595124
"reconocimiento",0.394968494503369
"audiencia",0.386859280744151
"hermano",0.35104407219172
"caso",0.311540299386721
"paz",0.302825638963257
"pueblo",0.302184851322339
"batallón",0.273508976938269
"días",0.273300434217578
"ejército",0.262780612936046
"marco",0.262269937288108
"vida",0.259108254448022
"magistrados",0.247979370909261
"justicia",0.247763562886229
"especial",0.234204601961655
