"word","eigen"
"batallón",1
"comandante",0.764525182721507
"información",0.701872380012507
"pelotón",0.696360295736461
"operaciones",0.666329809352929
"recuerdo",0.662016517855926
"sé",0.64375663524361
"pronto",0.604198186298866
"unidad",0.571193648130918
"operación",0.570121368263529
"persona",0.563942128456184
"acuerdo",0.545024836802085
"personas",0.526767765964043
"soldados",0.510693783134454
"inteligencia",0.494702359225484
"recuerda",0.49120010988699
"orden",0.48891148407779
"iba",0.485035874770812
"brigada",0.475269219560201
"día",0.463675967138366
