"word","eigen"
"víctimas",1
"comparecientes",0.470989638379233
"personas",0.461520255481931
"día",0.450355069327859
"quiero",0.403650587015309
"ustedes",0.401973188835951
"reconocimiento",0.394219498349929
"audiencia",0.385711772484136
"hermano",0.34994123618963
"caso",0.310707407237099
"paz",0.301924622666911
"pueblo",0.301561497195653
"batallón",0.27307023229408
"días",0.272490754514492
"ejército",0.262958045937936
"marco",0.262050883154116
"vida",0.258260562064509
"justicia",0.247889696680895
"magistrados",0.247228118496051
"responsabilidad",0.233937316049186
