"word","eigen"
"víctimas",1
"ustedes",0.582800971959178
"comparecientes",0.547029714108632
"señores",0.469464956290004
"mis",0.39871734584348
"autoridades",0.369949503427545
"magistrados",0.332065920474915
"familiares",0.283892901220931
"personas",0.259656846997215
"honorables",0.247916448037091
"étnicas",0.242977324827991
"inocentes",0.240054993081811
"asesinadas",0.234815410715333
"presentes",0.219472658750771
"quiero",0.21075192524629
"individuales",0.210195872753218
"colectivas",0.204647892614726
"apoderados",0.190294929022663
"responsables",0.18514717734196
"acreditadas",0.169103115637924
