"word","eigen"
"víctimas",1
"ustedes",0.455076055095934
"comparecientes",0.431208891186355
"personas",0.366094952012943
"familiares",0.296748625351033
"audiencia",0.292361959228741
"caso",0.284507398516805
"magistrados",0.282097492291493
"familias",0.249898669662103
"país",0.222542667921753
"responsabilidad",0.217139708268701
"paz",0.21344073677322
"patrón",0.197238542804674
"quiero",0.186357738387274
"presentes",0.182379823174443
"justicia",0.178109308867561
"daños",0.175153295815042
"forma",0.17242133201014
"seres",0.171742927142856
"reconocer",0.170645926144513
