"word","eigen"
"doña",1
"maría",0.808054458405803
"ana",0.405150796488708
"teresa",0.357673602245438
"mónica",0.344675367699583
"santa",0.239999128214214
"luz",0.223057926529733
"testimonio",0.210467226733732
"marta",0.205879172266074
"denis",0.198104096840582
"blanca",0.197822361258303
"elvia",0.197822361258303
"bertina",0.19063328878019
"herminia",0.19063328878019
"carlota",0.19063328878019
"bienvenida",0.19063328878019
"emira",0.19063328878019
"elizabeth",0.19063328878019
"olivia",0.19063328878019
"lucero",0.19063328878019
